site_name,api_number,operator,county,state,latitude,longitude,job_codes,well_type,status,source
Pelican Unit 109H,42301331850000,Apache Corporation,Loving,Texas,31.723472,-103.630793,,,,FracFocus
Chinook 102BH,42389360550000,Apache Corporation,Reeves,Texas,31.168431,-103.79061,,,,FracFocus
Seth Campbell 107,42495337830000,Apache Corporation,Winkler,Texas,31.8662,-103.0747,,,,FracFocus
Seth Campbell 108,42495337840000,Apache Corporation,Winkler,Texas,31.8594,-103.0397,,,,FracFocus
Seth Campbell 109,42495337940000,Apache Corporation,Winkler,Texas,31.873,-103.052,,,,FracFocus
June Tippett 95H,42329415290000,Apache Corporation,Midland,Texas,31.707177,-102.168633,,,,FracFocus
Blackfoot State Unit 101CH,42389358650000,Apache Corporation,Reeves,Texas,31.215417,-103.902818,,,,FracFocus
CC 4045 West D 6HM,42461405050000,Apache Corporation,Upton,Texas,31.558438,-101.96896,,,,FracFocus
CC 4045 East E 7HM,42461405060000,Apache Corporation,Upton,Texas,31.55847,-101.96882,,,,FracFocus
Seagull Unit 107H,42301331090000,Apache Corporation,Loving,Texas,31.732715,-103.622608,,,,FracFocus
King Flicka 101AH,42371395060000,Apache Corporation,Pecos,Texas,30.772879,-103.496252,,,,FracFocus
CC 4045 West D 5HM,42461405040000,Apache Corporation,Upton,Texas,31.558406,-101.969099,,,,FracFocus
CC 4045 West B 2HM,42461404960000,Apache Corporation,Upton,Texas,31.557603,-101.972587,,,,FracFocus
CC 4045 West B 3HM,42461404970000,Apache Corporation,Upton,Texas,31.557571,-101.972761,,,,FracFocus
CC 4045 West C 4HM,42461405030000,Apache Corporation,Upton,Texas,31.557603,-101.972587,,,,FracFocus
Aspen State 101AH,42389358050000,Apache Corporation,Reeves,Texas,31.262394,-104.024856,,,,FracFocus
CC 4144 East B 5HM,42461405200000,Apache Corporation,Upton,Texas,31.547957,-101.980917,,,,FracFocus
Adair San Andres Unit 1310,42165385380000,Apache Corporation,Gaines,Texas,32.950024,-102.298279,,,,FracFocus
Seagull Unit 101H,42301331070000,Apache Corporation,Loving,Texas,31.732918,-103.622871,,,,FracFocus
Lee 402BH,42389359920000,Apache Corporation,Reeves,Texas,31.664321,-103.872268,,,,FracFocus
Butaud E 1H,42185307290000,Apache Corporation,Grimes,Texas,30.64611,-96.01006,,,,FracFocus
King Flicka 102CH,42371395050000,Apache Corporation,Pecos,Texas,30.772869,-103.496346,,,,FracFocus
Lee 401AH,42389359910000,Apache Corporation,Reeves,Texas,31.66432,-103.872362,,,,FracFocus
Adair San Andres Unit 1407,42165385400000,Apache Corporation,Gaines,Texas,32.94632,-102.296455,,,,FracFocus
Mockingbird State Unit 9 S201H,42301323610000,Apache Corporation,Loving,Texas,31.749595,-103.615377,,,,FracFocus
Anderson 26 #14,42173361590000,Apache Corporation,Glasscock,Texas,31.918989,-101.520145,,,,FracFocus
Mockingbird State Unit 9 2H,42301334940000,Apache Corporation,Loving,Texas,31.751544,-103.615235,,,,FracFocus
CC 4144 East B 6HM,42461405210000,Apache Corporation,Upton,Texas,31.548076,-101.980954,,,,FracFocus
Bull Run 401AH,42389359890000,Apache Corporation,Reeves,Texas,31.663604,-103.876797,,,,FracFocus
Adair San Andres Unit 1406,42165385390000,Apache Corporation,Gaines,Texas,32.946541,-102.300446,,,,FracFocus
Adair San Andres Unit 2318,42165385430000,Apache Corporation,Gaines,Texas,32.943718,-102.298607,,,,FracFocus
CC 4144 West C 7HM,42461405290000,Apache Corporation,Upton,Texas,31.548196,-101.980992,,,,FracFocus
CC 4144 West E 11HM,42461405340000,Apache Corporation,Upton,Texas,31.546289,-101.988702,,,,FracFocus
CC 4144 West E 12HM,42461405350000,Apache Corporation,Upton,Texas,31.546256,-101.988841,,,,FracFocus
CC 4144 West D 10HM,42461405330000,Apache Corporation,Upton,Texas,31.546576,-101.985743,,,,FracFocus
CC 4144 West C 8HM,42461405310000,Apache Corporation,Upton,Texas,31.546532,-101.985459,,,,FracFocus
CC 4144 West D 9HM,42461405320000,Apache Corporation,Upton,Texas,31.546554,-101.985601,,,,FracFocus
Mockingbird State Unit 9 S202H,42301323620000,Apache Corporation,Loving,Texas,31.749704,-103.615522,,,,FracFocus
Mockingbird State Unit 9 P207H,42301327630000,Apache Corporation,Loving,Texas,31.74965,-103.61545,,,,FracFocus
Bull Run 501CH,42389359900000,Apache Corporation,Reeves,Texas,31.663604,-103.876701,,,,FracFocus
Mockingbird State Unit 9 250H,42301333070000,Apache Corporation,Loving,Texas,31.750281,-103.611528,,,,FracFocus
Magpie Unit 106H,42301334350000,Apache Corporation,Loving,Texas,31.754662,-103.596073,,,,FracFocus
Magpie Unit 108H,42301334450000,Apache Corporation,Loving,Texas,31.75448,-103.595541,,,,FracFocus
Pine State 101CH,42389358070000,Apache Corporation,Reeves,Texas,31.277989,-104.02231,,,,FracFocus
Falcon State Unit 2H,42301334950000,Apache Corporation,Loving,Texas,31.756599,-103.634384,,,,FracFocus
Magpie Unit 114H,42301334040000,Apache Corporation,Loving,Texas,31.74988,-103.58921,,,,FracFocus
Juniper State 101AH,42389360210000,Apache Corporation,Reeves,Texas,31.277989,-104.075509,,,,FracFocus
Oak State Unit 101AH,42389358670000,Apache Corporation,Reeves,Texas,31.267595,-103.988606,,,,FracFocus
Birch Unit 101BH,42389360840000,Apache Corporation,Reeves,Texas,31.272003,-103.831032,,,,FracFocus
Elbert State Unit 102AH,42389362150000,Apache Corporation,Reeves,Texas,31.055205,-103.764762,,,,FracFocus
Miller 3748 C 4HM,42461406340000,Apache Corporation,Upton,Texas,31.570825,-101.916421,,,,FracFocus
Miller 3748 C 5HM,42461406350000,Apache Corporation,Upton,Texas,31.570774,-101.916553,,,,FracFocus
Miller 3748 D 6HM,42461406360000,Apache Corporation,Upton,Texas,31.570723,-101.916685,,,,FracFocus
Miller 3748 B 3HM,42461406330000,Apache Corporation,Upton,Texas,31.571704,-101.912968,,,,FracFocus
Dogwood State 109AH,42389355170000,Apache Corporation,Reeves,Texas,31.262394,-103.992663,,,,FracFocus
"Schrock, W.M. 2326 13HL",42329415980000,Apache Corporation,Midland,Texas,31.759139,-101.786536,,,,FracFocus
"Schrock, W.M. 2326 12HA",42329416070000,Apache Corporation,Midland,Texas,31.759119,-101.78663,,,,FracFocus
Grant 401AH,42389362180000,Apache Corporation,Reeves,Texas,31.665984,-103.841628,,,,FracFocus
Grant 402BH,42389362190000,Apache Corporation,Reeves,Texas,31.665984,-103.84182,,,,FracFocus
Miller 3748 A 1HM,42461406310000,Apache Corporation,Upton,Texas,31.571805,-101.912705,,,,FracFocus
Miller 3748 B 2HM,42461406320000,Apache Corporation,Upton,Texas,31.571755,-101.912836,,,,FracFocus
Elbert State Unit 101AH,42389352970000,Apache Corporation,Reeves,Texas,31.055222,-103.764855,,,,FracFocus
Sagebrush State 901,42109331850000,Apache Corporation,Culberson,Texas,31.301466,-104.094018,,,,FracFocus
Dogwood State 107AH,42389355160000,Apache Corporation,Reeves,Texas,31.262394,-103.992855,,,,FracFocus
Bivins LIT 4-7,42359304140000,Apache Corporation,Oldham,Texas,35.557315,-102.26694,,,,FracFocus
Grant 403AH,42389363480000,Apache Corporation,Reeves,Texas,31.665986,-103.844295,,,,FracFocus
Sycamore Unit 501AH,42389359880000,Apache Corporation,Reeves,Texas,31.257449,-103.911172,,,,FracFocus
Redbud Unit 101AH,42109331480000,Apache Corporation,Culberson,Texas,31.309905,-104.089313,,,,FracFocus
Schrock W.M. 2326 8HM,42329415940000,Apache Corporation,Midland,Texas,31.758266,-101.789208,,,,FracFocus
Schrock W.M. 2326 7HL,42329415930000,Apache Corporation,Midland,Texas,31.758246,-101.789301,,,,FracFocus
Fury 102AH,42389358720100,Apache Corporation,Reeves,Texas,30.971036,-103.613297,,,,FracFocus
Schrock W.M. 2326 9HA,42329415950000,Apache Corporation,Midland,Texas,31.759057,-101.78691,,,,FracFocus
Schrock W.M. 2326 10HL,42329415960000,Apache Corporation,Midland,Texas,31.759078,-101.786816,,,,FracFocus
Schrock W.M. 2326 11HM,42329415970000,Apache Corporation,Midland,Texas,31.795097,-101.786723,,,,FracFocus
Ash Unit 101AH,42389362340000,Apache Corporation,Reeves,Texas,31.276354,-103.812492,,,,FracFocus
Dogwood State 203AH,42389355180000,Apache Corporation,Reeves,Texas,31.262394,-103.995828,,,,FracFocus
Dogwood State 202AH,42389355360000,Apache Corporation,Reeves,Texas,31.262394,-103.99602,,,,FracFocus
Dogwood State 401CH,42389364720000,Apache Corporation,Reeves,Texas,31.262401,-104.001096,,,,FracFocus
Dogwood State 105AH,42389355150000,Apache Corporation,Reeves,Texas,31.262394,-103.995924,,,,FracFocus
Kickapoo 101AH,42389365560000,Apache Corporation,Reeves,Texas,31.18445,-103.795128,,,,FracFocus
Dogwood State 201AH,42389355370000,Apache Corporation,Reeves,Texas,31.262394,-103.992759,,,,FracFocus
Schrock W.M. 2326 4HM,42329415870000,Apache Corporation,Midland,Texas,31.758184,-101.789582,,,,FracFocus
Schrock W.M. 2326 5HX,42329415880000,Apache Corporation,Midland,Texas,31.75816,-101.789488,,,,FracFocus
Schrock W.M. 2326 6HA,42329415890000,Apache Corporation,Midland,Texas,31.758225,-101.789395,,,,FracFocus
Chinook 201AR,42389363730000,Apache Corporation,Reeves,Texas,31.168525,-103.786534,,,,FracFocus
Seth Campbell #105,42495339820000,Apache Corporation,Winkler,Texas,31.8726,-103.0769,,,,FracFocus
Mohican Unit 102AH,42389363370000,Apache Corporation,Reeves,Texas,31.212815,-103.924682,,,,FracFocus
Mohican Unit 101AH,42389362560000,Apache Corporation,Reeves,Texas,31.212754,-103.924619,,,,FracFocus
Bivins East 43 1H,42375318790000,Apache Corporation,Potter,Texas,35.473962,-102.032075,,,,FracFocus
Stone 5202E 7H,42461406740000,Apache Corporation,Upton,Texas,31.183592,-101.901531,,,,FracFocus
SRH North 1526HU,42383400530000,Apache Corporation,Reagan,Texas,31.483564,-101.491005,,,,FracFocus
SRH North 1527HA,42383400520000,Apache Corporation,Reagan,Texas,31.483482,-101.491005,,,,FracFocus
Chinook 104AH,42389361840000,Apache Corporation,Reeves,Texas,31.168525,-103.786726,,,,FracFocus
Chinook 105AH,42389361850000,Apache Corporation,Reeves,Texas,31.168525,-103.78663,,,,FracFocus
Bivins LIT 62 1H,42359304150000,Apache Corporation,Oldham,Texas,35.55066,-102.17984,,,,FracFocus
Navajo 101AH,42389364730000,Apache Corporation,Reeves,Texas,31.232253,-103.724283,,,,FracFocus
Chinook 106AH,42389363090000,Apache Corporation,Reeves,Texas,31.168349,-103.79061,,,,FracFocus
Burnside 401AH,42389363200000,Apache Corporation,Reeves,Texas,31.66581,-103.889924,,,,FracFocus
Burnside 402BH,42389363700000,Apache Corporation,Reeves,Texas,31.66581,-103.889828,,,,FracFocus
Bull Run 402BH,42389363610000,Apache Corporation,Reeves,Texas,31.664285,-103.881144,,,,FracFocus
Bull Run 404BH,42389363620000,Apache Corporation,Reeves,Texas,31.664285,-103.881337,,,,FracFocus
Bull Run 403AH,42389363630000,Apache Corporation,Reeves,Texas,31.664285,-103.881241,,,,FracFocus
Lynch A HZ 37HM,42329419250000,Apache Corporation,Midland,Texas,31.708046,-102.153276,,,,FracFocus
Lynch A HZ 39HS,42329419260000,Apache Corporation,Midland,Texas,31.707996,-102.153352,,,,FracFocus
Lynch A HZ 38HS,42329419270000,Apache Corporation,Midland,Texas,31.708046,-102.153276,,,,FracFocus
Lynch A HZ 30HM,42329419180000,Apache Corporation,Midland,Texas,31.704284,-102.164295,,,,FracFocus
Lynch A HZ 31HM,42329419190000,Apache Corporation,Midland,Texas,31.704307,-102.164203,,,,FracFocus
Lynch A HZ 32HM,42329419200000,Apache Corporation,Midland,Texas,31.704307,-102.16411,,,,FracFocus
Bull Run 407AH,42389363660000,Apache Corporation,Reeves,Texas,31.663622,-103.885593,,,,FracFocus
Bull Run 408BH,42389363670000,Apache Corporation,Reeves,Texas,31.663622,-103.885689,,,,FracFocus
Bull Run 405AH,42389363640000,Apache Corporation,Reeves,Texas,31.66363,-103.882686,,,,FracFocus
Bull Run 406BH,42389363650000,Apache Corporation,Reeves,Texas,31.663629,-103.882782,,,,FracFocus
Brahaney Unit 124,42501341270000,Apache Corporation,Yoakum,Texas,33.14406,-102.87211,,,,FracFocus
CC 42 B 4HM,42461405370000,Apache Corporation,Upton,Texas,31.535243,-101.992445,,,,FracFocus
CC 42 A 3HM,42461405380000,Apache Corporation,Upton,Texas,31.535211,-101.992584,,,,FracFocus
Mesquite State Unit 102BH,42109330940000,Apache Corporation,Culberson,Texas,31.308514,-104.09426,,,,FracFocus
Mesquite State Unit 101AH,42109330950000,Apache Corporation,Culberson,Texas,31.308515,-104.094163,,,,FracFocus
Birch Unit 102AH,42389365540000,Apache Corporation,Reeves,Texas,31.272012,-103.834163,,,,FracFocus
Lynch A HZ 33HM,42329419210000,Apache Corporation,Midland,Texas,31.707471,-102.158939,,,,FracFocus
CC 43 East G 11HM,42461406510000,Apache Corporation,Upton,Texas,31.522623,-101.987714,,,,FracFocus
CC 43 East H 12HM,42461406520000,Apache Corporation,Upton,Texas,31.523273,-101.985223,,,,FracFocus
Lynch A HZ 34HM,42329419220000,Apache Corporation,Midland,Texas,31.707494,-102.158846,,,,FracFocus
Lynch A HZ 36HM,42329419240000,Apache Corporation,Midland,Texas,31.707539,-102.15866,,,,FracFocus
Birch Unit 103BH,42389365550000,Apache Corporation,Reeves,Texas,31.272012,-103.834259,,,,FracFocus
Lynch A HZ 35HM,42329419230000,Apache Corporation,Midland,Texas,31.707516,-102.158753,,,,FracFocus
